NomDuGroupe	Restaurant	Note	Prix	Cuisine	Service	Ambiance	Avis	URL
Bernard	Bistrot André - Grenoble	5.0	Positive	Positive	Positive	Positive	Ambiance sympathique, cadre agréable, nourriture goûteuse et copieuse et service soigné.  Un petit bonus pour la sommelière.  Le rapport qualité prix est correct.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r976576336-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	3.0	NE	Négative	NE	NE	Je m'attendais à mieux que ça. Les commentaires de ce restaurant étant très bon, j'y allais les yeux fermés. J'ai mangé des gratins Dauphinois 100 meilleurs ailleurs et idem pour les desserts. J'ai trouvé qu'ils manquaient de goût et de saveurs. Dommage. Je n'y retournerais pas.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r641185163-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Campiglia_Sigrist	Brasserie Georges - Lyon	5.0	NE	Positive	NE	Positive	Je ne sais par où commencer….. j’ai un thon snacké (mi-cuit) avec son risotto à la tomate vraiment excellent , j’ai goûté le boudin noir à mon mari, c’est pareil, jamais mangé de boudin aussi bon ….. chou a la crème délicieu , et île flottante à la praline vraiment très bonne ambiance spéciale brasserie très particulière et encore plus aux moments des fêtes…… je recommande à faire quand on vient à Lyon	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or60-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Terre Adélice - Lyon"""""""	4.0	NE	Positive	NE	Positive	"""""""Lors de la visite du Vieux-Lyon, nous nous sommes arrêter pour déguster une glace à cet endroit. L’endroit est charmant, il y a une terrasse à l’extérieur et un comptoir pour emporter. Le choix des parfums est vaste et parfois unique. Je le conseil à tout ceux qui désire une glace de type italienne (gelato). Bon appétit."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r696678071-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Bernard	Bistrot André - Grenoble	5.0	NE	Positive	Positive	NE	Très belle expérience. Personnel top et plats exquis. A donne envie de se payer la folie du ***˜. Merci pour ce bon moment.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r980628788-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Hardwick_Micha	Les Terrasses de Lyon - Lyon	5.0	NE	Positive	Positive	Positive	L'accueil,le service, les plats sont exceptionnelsIci flotte dans l'air un sentiment de bonne maisonLe pigeon du chef est incomparable donc d'une qualité rare	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r474037004-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
DiMalta_Fauchon	Shunbun - Grenoble	4.0	Positive	Neutre	Positive	NE	Nous avons pris le menu du jour lors de notre visite avec une amie. Pour 12,5 euros nous sommes reparties le ventre bien plein et le sourire aux lèvres: sushis et makis très goûteux, sauce soja à volonté, salade de chou bien assaisonnée, présentation soignée... seul petit bémol, les 3 pauvres petits cubes de tofu qui se battaient en duel dans la soupe miso!  Sinon, le service est de qualité : serveurs souriants, rapides et aimables.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r418841091-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	5.0	NE	Positive	NE	NE	j'ai connu ce restaurant à Toulouse habitant Aix les bains je suis content d'en avoir trouvé un à Lyon la sauce, une merveille et les frites à volonté tout simplement divin	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or225-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	5.0	Positive	Positive	Positive	NE	Juste parfait. Des mets recherchés et délicats servis par un personnel attentionné et souriant. Rapport qualité prix excellent.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r965592189-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	5.0	NE	Positive	Positive	NE	Je vous conseil d aller a cette établissement si vous êtes de passage Très profs et une très bonne relation clientèle !! Très bon et copieux	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r663510532-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
